               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.081355,            0.078762,            0.038894,             0.80854,            0.077425,            0.040584,           0.0097973,             0.10196,            0.071092,            0.037259,            0.067589,          0.00032738,          0.00032738
                   1,            0.056963,            0.067833,            0.036303,             0.90449,             0.19347,             0.18947,             0.08097,            0.052266,            0.083066,            0.036386,            0.034586,          0.00065744,          0.00065744
                   2,            0.048527,            0.066197,            0.036194,             0.15227,             0.34201,             0.21763,             0.10924,             0.04385,            0.070612,             0.03612,           0.0015794,          0.00098421,          0.00098421
                   3,            0.046182,            0.064501,            0.036054,             0.29234,             0.36255,             0.23874,              0.1194,            0.042579,            0.068106,            0.035998,          0.00098515,          0.00098515,          0.00098515
                   4,            0.043668,             0.06255,            0.035984,             0.36495,             0.36818,             0.29523,             0.14977,            0.039863,            0.064395,            0.035933,          0.00098515,          0.00098515,          0.00098515
                   5,            0.041139,            0.061769,            0.035888,             0.33135,             0.37938,             0.31107,             0.15458,            0.038683,            0.064362,            0.035821,           0.0009802,           0.0009802,           0.0009802
                   6,            0.041078,            0.060731,            0.035813,             0.32642,             0.36069,             0.30642,             0.15216,            0.037808,            0.064598,            0.035665,          0.00097525,          0.00097525,          0.00097525
                   7,            0.040956,            0.060263,            0.035714,             0.35585,             0.38448,             0.33444,             0.16896,            0.039328,            0.065764,            0.035641,           0.0009703,           0.0009703,           0.0009703
                   8,            0.039177,            0.059953,             0.03559,             0.41355,             0.41291,             0.35841,             0.19194,            0.034205,            0.061292,             0.03546,          0.00096535,          0.00096535,          0.00096535
                   9,            0.038829,            0.059651,            0.035476,               0.483,             0.43598,              0.4005,             0.21882,            0.032986,            0.059391,             0.03527,           0.0009604,           0.0009604,           0.0009604
                  10,            0.037836,            0.058487,            0.035295,             0.52204,             0.45494,              0.4382,             0.23086,             0.03434,            0.061446,            0.035345,          0.00095545,          0.00095545,          0.00095545
                  11,            0.038218,            0.058794,            0.035161,             0.48976,             0.55068,              0.4922,             0.25972,            0.035899,             0.06487,            0.034875,           0.0009505,           0.0009505,           0.0009505
                  12,            0.037464,            0.058485,            0.034903,             0.56154,             0.59747,             0.54826,             0.29344,            0.032576,            0.059712,            0.034512,          0.00094555,          0.00094555,          0.00094555
                  13,            0.037627,             0.05761,            0.034621,             0.57134,             0.61193,             0.54113,             0.29222,            0.032441,            0.059123,            0.034705,           0.0009406,           0.0009406,           0.0009406
                  14,            0.036615,             0.05822,            0.034378,             0.54289,             0.55376,             0.49684,             0.25371,             0.03936,            0.064129,            0.034727,          0.00093565,          0.00093565,          0.00093565
                  15,            0.037261,            0.057319,            0.034304,             0.61241,             0.62942,             0.60118,             0.33064,            0.032525,            0.058838,            0.033973,           0.0009307,           0.0009307,           0.0009307
                  16,            0.036199,            0.057157,            0.034069,             0.65365,             0.58308,             0.60742,             0.33043,            0.033217,            0.059157,            0.035337,          0.00092575,          0.00092575,          0.00092575
                  17,            0.035784,            0.056824,            0.034117,             0.72616,             0.63306,             0.67558,             0.37384,             0.03197,            0.057756,            0.033842,           0.0009208,           0.0009208,           0.0009208
                  18,            0.036185,            0.057024,             0.03383,             0.78523,             0.65631,             0.70648,             0.39213,            0.031177,            0.057136,            0.033492,          0.00091585,          0.00091585,          0.00091585
                  19,            0.035417,            0.055954,            0.033595,             0.81435,             0.68211,             0.73076,             0.41308,            0.030395,            0.056826,             0.03338,           0.0009109,           0.0009109,           0.0009109
                  20,            0.034667,            0.055806,            0.033344,             0.82535,             0.71539,             0.76455,             0.43406,            0.030965,            0.056374,            0.033198,          0.00090595,          0.00090595,          0.00090595
                  21,            0.035482,            0.056277,            0.033269,              0.7509,             0.69722,             0.71794,             0.39816,            0.030709,            0.057629,            0.033342,            0.000901,            0.000901,            0.000901
                  22,            0.035263,            0.055473,            0.033045,             0.79672,              0.7229,             0.74478,             0.41766,            0.030749,            0.057131,            0.032946,          0.00089605,          0.00089605,          0.00089605
                  23,            0.034822,            0.055737,            0.033012,             0.82122,             0.71903,             0.76508,             0.43123,            0.030307,            0.056722,            0.032983,           0.0008911,           0.0008911,           0.0008911
                  24,            0.034422,             0.05455,            0.032987,             0.84552,              0.7486,             0.78333,             0.45235,            0.030075,            0.056699,            0.032734,          0.00088615,          0.00088615,          0.00088615
                  25,            0.034496,            0.054384,            0.032917,             0.85419,             0.73023,             0.78118,             0.44148,            0.030359,            0.056469,            0.032942,           0.0008812,           0.0008812,           0.0008812
                  26,            0.034202,            0.055268,            0.032936,             0.83499,             0.74841,             0.78574,             0.43868,            0.034241,            0.058185,            0.032703,          0.00087625,          0.00087625,          0.00087625
                  27,            0.033973,            0.054913,            0.032883,             0.80854,             0.72682,               0.764,             0.44766,            0.030415,            0.056006,            0.032892,           0.0008713,           0.0008713,           0.0008713
                  28,            0.033827,            0.054729,            0.032823,             0.81929,             0.73365,             0.77197,              0.4329,            0.030485,            0.056877,            0.032842,          0.00086635,          0.00086635,          0.00086635
                  29,            0.033449,            0.054572,            0.032902,              0.8387,             0.74469,             0.77969,             0.44784,            0.030354,            0.056724,            0.032662,           0.0008614,           0.0008614,           0.0008614
                  30,             0.03344,            0.053704,            0.032815,              0.8511,             0.74817,             0.79172,             0.47587,            0.028476,            0.054502,            0.032611,          0.00085645,          0.00085645,          0.00085645
                  31,            0.033051,            0.054398,             0.03278,             0.82319,             0.75695,             0.78804,             0.45463,            0.029463,            0.056104,            0.032573,           0.0008515,           0.0008515,           0.0008515
                  32,            0.033365,             0.05374,            0.032799,              0.8613,             0.76284,             0.80137,              0.4719,             0.02895,            0.054449,             0.03271,          0.00084655,          0.00084655,          0.00084655
                  33,            0.033243,            0.053914,            0.032661,             0.87075,             0.74697,             0.78803,              0.4703,            0.028687,            0.054511,            0.032547,           0.0008416,           0.0008416,           0.0008416
                  34,            0.032622,            0.053052,            0.032717,             0.82234,             0.75124,             0.78488,             0.47481,            0.028413,            0.054807,             0.03263,          0.00083665,          0.00083665,          0.00083665
                  35,            0.033058,            0.053906,            0.032768,             0.83911,              0.7446,             0.78389,              0.4638,            0.029426,            0.055317,             0.03302,           0.0008317,           0.0008317,           0.0008317
                  36,            0.032161,            0.053361,            0.032715,             0.83641,             0.77715,             0.80154,             0.47166,            0.029215,            0.055414,            0.032622,          0.00082675,          0.00082675,          0.00082675
                  37,            0.032394,            0.054278,            0.032622,             0.86706,             0.77839,             0.81176,             0.49569,             0.02761,            0.053208,            0.032533,           0.0008218,           0.0008218,           0.0008218
                  38,            0.031701,            0.051523,             0.03259,             0.80531,             0.75813,             0.78815,             0.48146,            0.029094,            0.055095,            0.032663,          0.00081685,          0.00081685,          0.00081685
                  39,            0.032246,            0.053075,            0.032595,             0.85135,             0.77986,             0.81251,             0.48754,            0.028574,            0.053698,            0.032468,           0.0008119,           0.0008119,           0.0008119
                  40,             0.03223,            0.053569,            0.032612,             0.86447,             0.77317,             0.80352,             0.48184,            0.028456,            0.054666,            0.032468,          0.00080695,          0.00080695,          0.00080695
                  41,            0.031254,             0.05252,            0.032563,              0.8642,             0.76041,              0.7976,             0.48318,            0.028871,            0.054341,            0.032532,            0.000802,            0.000802,            0.000802
                  42,            0.031605,             0.05262,            0.032581,             0.86635,             0.78245,              0.8226,             0.50026,            0.027716,            0.054472,            0.032438,          0.00079705,          0.00079705,          0.00079705
                  43,            0.032066,            0.053081,            0.032551,             0.87733,             0.78227,             0.81828,             0.49513,            0.027246,            0.052787,            0.032409,           0.0007921,           0.0007921,           0.0007921
                  44,            0.031238,             0.05252,            0.032545,             0.86328,             0.79753,             0.82687,             0.50486,            0.027129,            0.053147,            0.032333,          0.00078715,          0.00078715,          0.00078715
                  45,             0.03107,            0.051507,            0.032481,             0.86951,             0.77404,             0.80867,             0.50095,            0.026885,            0.052916,            0.032411,           0.0007822,           0.0007822,           0.0007822
                  46,            0.031815,            0.053164,            0.032507,             0.87006,             0.80263,              0.8248,             0.50776,            0.026975,            0.052995,            0.032439,          0.00077725,          0.00077725,          0.00077725
                  47,            0.030846,            0.051294,            0.032482,             0.87883,             0.79142,             0.83412,             0.51463,            0.026812,            0.052559,            0.032379,           0.0007723,           0.0007723,           0.0007723
                  48,            0.031022,            0.051388,            0.032494,              0.8495,             0.78633,             0.81096,             0.49165,            0.027319,            0.053834,             0.03248,          0.00076735,          0.00076735,          0.00076735
                  49,             0.03074,            0.051468,            0.032513,             0.87001,             0.78926,             0.81917,             0.51119,            0.026699,            0.052264,            0.032434,           0.0007624,           0.0007624,           0.0007624
                  50,            0.031228,            0.051596,            0.032465,             0.87535,              0.7896,             0.82882,             0.50641,             0.02678,            0.052682,            0.032354,          0.00075745,          0.00075745,          0.00075745
                  51,            0.030734,            0.050561,            0.032464,             0.87947,             0.79362,             0.82768,             0.51415,            0.026623,            0.052438,            0.032356,           0.0007525,           0.0007525,           0.0007525
                  52,            0.030281,            0.051239,            0.032475,             0.87663,             0.80296,             0.82615,             0.51766,            0.026414,            0.051347,            0.032339,          0.00074755,          0.00074755,          0.00074755
                  53,            0.030428,            0.051168,            0.032464,                0.88,             0.79012,             0.82417,              0.5131,            0.026587,            0.051929,            0.032406,           0.0007426,           0.0007426,           0.0007426
                  54,            0.030749,            0.051864,            0.032419,             0.86987,             0.81071,             0.83328,             0.52084,            0.026051,            0.051445,            0.032362,          0.00073765,          0.00073765,          0.00073765
                  55,            0.030392,            0.050796,            0.032437,             0.86437,             0.79915,             0.82833,             0.51715,            0.026396,            0.052041,            0.032363,           0.0007327,           0.0007327,           0.0007327
                  56,             0.03014,            0.051376,            0.032444,             0.87492,              0.8091,             0.83242,             0.52321,            0.026213,            0.051926,            0.032338,          0.00072775,          0.00072775,          0.00072775
                  57,            0.030281,            0.050714,            0.032438,              0.8839,             0.80352,             0.83973,             0.52815,            0.025904,            0.051707,            0.032316,           0.0007228,           0.0007228,           0.0007228
                  58,            0.030537,            0.051083,            0.032409,             0.88425,             0.80374,             0.83312,             0.52364,            0.026328,            0.051436,            0.032317,          0.00071785,          0.00071785,          0.00071785
                  59,            0.029573,            0.050128,             0.03241,             0.88637,             0.80437,             0.83513,             0.52829,            0.026206,            0.050663,             0.03228,           0.0007129,           0.0007129,           0.0007129
                  60,            0.029813,            0.050439,            0.032419,             0.87779,              0.8003,             0.82436,             0.52146,            0.025682,            0.051303,             0.03232,          0.00070795,          0.00070795,          0.00070795
                  61,            0.029693,            0.050267,            0.032406,             0.87934,             0.80886,             0.83023,             0.52456,            0.026038,            0.051436,            0.032278,            0.000703,            0.000703,            0.000703
                  62,            0.029945,            0.050972,            0.032406,             0.88567,             0.81308,             0.83922,             0.52746,            0.025743,            0.050271,            0.032292,          0.00069805,          0.00069805,          0.00069805
                  63,            0.029851,            0.050598,            0.032396,             0.88237,             0.81154,             0.83492,             0.52838,            0.026013,            0.051461,            0.032309,           0.0006931,           0.0006931,           0.0006931
                  64,            0.029726,            0.050011,            0.032366,             0.89443,             0.81232,             0.84751,             0.53358,            0.025729,            0.050664,            0.032284,          0.00068815,          0.00068815,          0.00068815
                  65,            0.029564,            0.050588,            0.032373,             0.88885,             0.80862,             0.83756,              0.5305,            0.025769,            0.051101,            0.032273,           0.0006832,           0.0006832,           0.0006832
                  66,            0.029605,            0.050533,            0.032381,             0.87243,             0.81159,             0.83718,             0.52863,            0.025706,            0.051413,            0.032268,          0.00067825,          0.00067825,          0.00067825
                  67,            0.029269,            0.049887,            0.032386,             0.88739,             0.81892,             0.84141,             0.53713,            0.025387,            0.051713,            0.032264,           0.0006733,           0.0006733,           0.0006733
